utility_bill_payment,service_deposit_required,debt_collection_history,savings_account,employment_tenure,additional_income,housing_status,eviction_history,community_savings_group,mobile_money_account,credit_score
Occasionally late,"Yes, not refunded",No,No,Over 3 years,No,Live with family/friends,No,No,"Yes, rarely used",590
Occasionally late,No,No,No,Over 3 years,No,Own,No,No,No,691
Always on time,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",801
Always on time,"Yes, not refunded",No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",708
Always on time,No,"Yes, once","Yes, but limited",Over 3 years,No,Own,No,No,"Yes, rarely used",737
Always on time,No,No,"Yes, but limited",Over 3 years,No,Own,No,No,"Yes, rarely used",782
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, rarely used",764
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,"Yes, more than once",No,"Yes, actively used",719
Frequently late,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",690
Frequently late,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, rarely used",607
Occasionally late,No,"Yes, more than once",No,Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, actively used",534
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",750
Occasionally late,No,No,No,Over 3 years,No,Own,No,"Yes, active member","Yes, actively used",727
Always on time,No,No,No,Over 3 years,No,Rent,No,"Yes, inactive member","Yes, rarely used",755
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",775
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,"Yes, more than once",No,No,717
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",779
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,No,Own,No,"Yes, active member","Yes, actively used",718
Always on time,No,No,No,1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",744
Never paid,No,"Yes, once",No,6 months to 1 year,No,Own,No,No,"Yes, actively used",563
Always on time,No,No,No,Over 3 years,"Yes, occasionally",Rent,No,"Yes, active member",No,748
Frequently late,No,No,"Yes, sufficient",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, rarely used",663
Always on time,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, actively used",751
Always on time,"Yes, not refunded",No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",695
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, rarely used",672
Occasionally late,No,"Yes, once","Yes, sufficient",Less than 6 months,No,Own,No,No,"Yes, actively used",638
Always on time,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Own,"Yes, once",No,"Yes, rarely used",732
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,"Yes, more than once","Yes, active member","Yes, actively used",718
Always on time,No,"Yes, more than once",No,Over 3 years,"Yes, occasionally",Live with family/friends,No,No,No,638
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",729
Occasionally late,"Yes, not refunded",No,"Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, actively used",618
Always on time,"Yes, not refunded","Yes, once","Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, rarely used",579
Always on time,No,No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,No,745
Frequently late,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, active member",No,661
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",761
Occasionally late,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",707
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, actively used",705
Never paid,No,No,"Yes, but limited",1 to 3 years,No,Own,No,"Yes, active member","Yes, actively used",664
Always on time,"Yes, but refunded",No,No,6 months to 1 year,No,Rent,"Yes, once","Yes, inactive member","Yes, actively used",646
Occasionally late,No,"Yes, once",No,Less than 6 months,No,Own,No,No,No,582
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Own,No,No,"Yes, actively used",779
Occasionally late,"Yes, but refunded","Yes, once","Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, rarely used",644
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,"Yes, once",No,"Yes, rarely used",735
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, rarely used",746
Frequently late,"Yes, not refunded",No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",574
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, actively used",806
Frequently late,No,No,No,1 to 3 years,"Yes, regularly",Own,"Yes, more than once",No,"Yes, rarely used",638
Frequently late,No,No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, actively used",680
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Live with family/friends,No,No,"Yes, rarely used",779
Always on time,No,No,No,Less than 6 months,"Yes, regularly",Rent,No,No,No,700
Always on time,No,No,"Yes, but limited",Over 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",761
Never paid,No,"Yes, once",No,1 to 3 years,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",567
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, active member",No,774
Always on time,No,"Yes, once",No,1 to 3 years,No,Rent,No,No,"Yes, actively used",652
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",692
Frequently late,No,No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",693
Occasionally late,No,"Yes, once","Yes, but limited",Over 3 years,No,Rent,"Yes, once",No,"Yes, actively used",603
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Own,No,"Yes, active member","Yes, rarely used",725
Always on time,"Yes, not refunded",No,"Yes, but limited",Less than 6 months,No,Rent,No,"Yes, inactive member","Yes, actively used",653
Always on time,"Yes, but refunded",No,No,Less than 6 months,No,Rent,No,"Yes, active member","Yes, actively used",674
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Live with family/friends,"Yes, once","Yes, inactive member","Yes, actively used",749
Frequently late,No,No,"Yes, but limited",Less than 6 months,No,Own,No,No,"Yes, actively used",648
Occasionally late,No,No,No,1 to 3 years,No,Rent,No,No,"Yes, actively used",672
Occasionally late,No,No,No,6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, actively used",663
Occasionally late,No,No,"Yes, but limited",Over 3 years,No,Rent,No,"Yes, active member","Yes, actively used",732
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,"Yes, once","Yes, active member","Yes, actively used",744
Always on time,No,"Yes, once",No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",701
Always on time,No,No,No,1 to 3 years,No,Rent,No,No,"Yes, actively used",720
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, actively used",787
Occasionally late,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,No,No,715
Always on time,"Yes, not refunded","Yes, once",No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",630
Occasionally late,No,"Yes, once","Yes, but limited",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",673
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",744
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",728
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, rarely used",661
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",771
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Own,No,"Yes, active member","Yes, rarely used",770
Occasionally late,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, actively used",648
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,No,709
Occasionally late,No,"Yes, once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, rarely used",666
Occasionally late,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",715
Always on time,"Yes, not refunded","Yes, once",No,1 to 3 years,No,Own,"Yes, once","Yes, inactive member","Yes, actively used",570
Occasionally late,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",799
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, rarely used",691
Occasionally late,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",599
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",798
Always on time,No,"Yes, once",No,1 to 3 years,No,Rent,No,No,"Yes, actively used",639
Always on time,No,"Yes, once","Yes, but limited",Less than 6 months,No,Rent,"Yes, once",No,"Yes, actively used",614
Always on time,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",791
Occasionally late,No,No,"Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, actively used",733
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",749
Frequently late,"Yes, but refunded",No,No,1 to 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member",No,614
Always on time,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",718
Always on time,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Live with family/friends,No,"Yes, active member",No,719
Occasionally late,"Yes, not refunded","Yes, once","Yes, but limited",1 to 3 years,No,Rent,"Yes, more than once","Yes, inactive member","Yes, actively used",519
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,No,Own,No,"Yes, active member","Yes, actively used",737
Always on time,"Yes, but refunded",No,No,6 months to 1 year,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, rarely used",684
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,"Yes, regularly",Rent,"Yes, once","Yes, active member","Yes, actively used",708
Always on time,"Yes, but refunded","Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",634
Occasionally late,"Yes, not refunded",No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, rarely used",613
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Rent,"Yes, once","Yes, active member","Yes, rarely used",737
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",712
Occasionally late,"Yes, but refunded",No,No,6 months to 1 year,"Yes, occasionally",Live with family/friends,"Yes, once",No,"Yes, rarely used",591
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",760
Frequently late,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",708
Always on time,No,No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",801
Frequently late,No,No,No,6 months to 1 year,No,Own,No,No,"Yes, actively used",630
Always on time,No,"Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",672
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, rarely used",775
Always on time,No,No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",782
Occasionally late,"Yes, not refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, rarely used",631
Occasionally late,No,"Yes, once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",644
Always on time,No,No,No,Over 3 years,"Yes, regularly",Own,No,No,"Yes, rarely used",800
Frequently late,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,No,No,642
Always on time,"Yes, but refunded",No,No,Over 3 years,No,Rent,No,No,"Yes, actively used",728
Always on time,No,No,"Yes, but limited",Over 3 years,No,Own,No,No,"Yes, actively used",779
Occasionally late,"Yes, but refunded","Yes, once","Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, rarely used",613
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, rarely used",700
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, actively used",675
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,"Yes, active member",No,763
Never paid,No,No,"Yes, sufficient",Less than 6 months,No,Rent,No,"Yes, active member",No,626
Occasionally late,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",708
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",771
Always on time,No,"Yes, once","Yes, sufficient",Over 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",762
Never paid,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",603
Occasionally late,No,"Yes, once","Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",650
Frequently late,No,No,"Yes, but limited",Over 3 years,"Yes, regularly",Rent,No,No,"Yes, rarely used",698
Always on time,"Yes, not refunded",No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",709
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, actively used",714
Occasionally late,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",738
Always on time,"Yes, but refunded",No,No,1 to 3 years,No,Rent,No,No,"Yes, actively used",695
Always on time,No,"Yes, once","Yes, but limited",Over 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",750
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,No,No,719
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,"Yes, more than once",No,"Yes, rarely used",683
Occasionally late,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, actively used",628
Occasionally late,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",703
Frequently late,No,No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Own,No,No,No,701
Occasionally late,No,"Yes, more than once",No,1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",582
Always on time,No,No,"Yes, but limited",Less than 6 months,No,Rent,No,No,"Yes, actively used",703
Always on time,No,"Yes, once","Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, actively used",706
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",724
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",711
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, actively used",685
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",Over 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",703
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, regularly",Rent,"Yes, once",No,"Yes, actively used",747
Occasionally late,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",671
Always on time,No,No,No,Less than 6 months,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",724
Always on time,"Yes, not refunded","Yes, more than once",No,1 to 3 years,No,Own,"Yes, more than once","Yes, active member","Yes, actively used",556
Never paid,No,"Yes, once",No,1 to 3 years,"Yes, occasionally",Own,"Yes, more than once","Yes, active member","Yes, rarely used",524
Occasionally late,"Yes, not refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",631
Occasionally late,"Yes, but refunded","Yes, once","Yes, but limited",Over 3 years,"Yes, regularly",Own,No,"Yes, inactive member","Yes, rarely used",672
Occasionally late,"Yes, but refunded",No,"Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, rarely used",686
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, actively used",732
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,No,Live with family/friends,No,No,"Yes, rarely used",692
Always on time,No,No,"Yes, but limited",Less than 6 months,No,Own,No,No,"Yes, rarely used",770
Never paid,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",537
Always on time,"Yes, not refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",690
Frequently late,"Yes, but refunded","Yes, once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, rarely used",569
Always on time,"Yes, but refunded","Yes, once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",670
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Live with family/friends,No,No,"Yes, actively used",712
Always on time,No,No,No,1 to 3 years,No,Rent,No,No,"Yes, actively used",726
Always on time,No,No,No,6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, actively used",738
Occasionally late,No,"Yes, more than once","Yes, sufficient",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",638
Never paid,"Yes, but refunded","Yes, once","Yes, but limited",6 months to 1 year,No,Own,No,"Yes, active member","Yes, actively used",563
Never paid,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,No,Own,"Yes, more than once",No,"Yes, rarely used",522
Never paid,No,"Yes, once","Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",599
Always on time,No,No,"Yes, but limited",Over 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",805
Never paid,No,No,No,6 months to 1 year,"Yes, regularly",Live with family/friends,No,No,"Yes, actively used",605
Always on time,No,"Yes, once","Yes, but limited",Over 3 years,No,Rent,No,"Yes, inactive member","Yes, rarely used",698
Frequently late,No,No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, actively used",625
Always on time,No,"Yes, once","Yes, but limited",Over 3 years,No,Rent,No,No,"Yes, actively used",693
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",758
Never paid,"Yes, but refunded",No,No,1 to 3 years,No,Own,"Yes, once","Yes, active member","Yes, actively used",563
Frequently late,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Rent,"Yes, once",No,"Yes, actively used",665
Occasionally late,"Yes, but refunded",No,No,1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",639
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Rent,"Yes, once","Yes, active member","Yes, actively used",699
Always on time,"Yes, not refunded",No,No,Over 3 years,No,Rent,No,No,"Yes, rarely used",663
Occasionally late,"Yes, not refunded","Yes, once","Yes, but limited",Over 3 years,No,Own,No,No,"Yes, actively used",576
Occasionally late,No,No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",687
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, actively used",712
Always on time,No,No,"Yes, but limited",Over 3 years,No,Own,No,No,"Yes, rarely used",775
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Rent,"Yes, once","Yes, active member","Yes, actively used",756
Occasionally late,No,"Yes, more than once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,No,"Yes, active member","Yes, rarely used",635
Always on time,No,No,No,Over 3 years,"Yes, occasionally",Live with family/friends,No,No,"Yes, rarely used",737
Always on time,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, regularly",Rent,"Yes, once","Yes, inactive member","Yes, rarely used",673
Always on time,No,"Yes, once",No,Less than 6 months,"Yes, occasionally",Own,"Yes, more than once",No,"Yes, actively used",588
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Live with family/friends,No,No,"Yes, actively used",754
Occasionally late,No,No,No,6 months to 1 year,No,Rent,"Yes, once",No,"Yes, actively used",625
Occasionally late,"Yes, not refunded","Yes, more than once","Yes, but limited",6 months to 1 year,No,Live with family/friends,No,No,"Yes, actively used",502
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",725
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, rarely used",747
Always on time,"Yes, not refunded","Yes, once",No,6 months to 1 year,No,Own,No,"Yes, active member","Yes, actively used",622
Frequently late,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",744
Always on time,No,No,No,1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",753
Always on time,No,"Yes, once",No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",656
Occasionally late,No,"Yes, more than once","Yes, sufficient",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",649
Always on time,No,No,No,6 months to 1 year,"Yes, regularly",Live with family/friends,No,No,"Yes, actively used",723
Occasionally late,"Yes, but refunded",No,No,6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, actively used",637
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",784
Occasionally late,No,"Yes, once","Yes, sufficient",1 to 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",682
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",809
Always on time,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, actively used",800
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, rarely used",765
Occasionally late,"Yes, not refunded",No,No,Over 3 years,No,Live with family/friends,No,"Yes, active member","Yes, actively used",625
Never paid,"Yes, not refunded","Yes, once","Yes, but limited",6 months to 1 year,No,Own,No,"Yes, active member","Yes, actively used",515
Always on time,No,No,"Yes, but limited",Over 3 years,No,Own,No,No,No,769
Occasionally late,No,No,"Yes, sufficient",6 months to 1 year,No,Own,No,No,"Yes, rarely used",719
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, rarely used",697
Never paid,"Yes, not refunded",No,No,Less than 6 months,"Yes, occasionally",Live with family/friends,No,No,"Yes, rarely used",487
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",723
Always on time,No,No,No,6 months to 1 year,No,Own,No,No,"Yes, actively used",737
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,No,Rent,No,"Yes, active member","Yes, actively used",630
Always on time,No,"Yes, once",No,Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, actively used",647
Always on time,No,No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",735
Always on time,No,"Yes, more than once","Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,No,"Yes, actively used",691
Frequently late,No,No,No,1 to 3 years,No,Rent,No,"Yes, active member","Yes, actively used",673
Frequently late,"Yes, but refunded",No,No,6 months to 1 year,No,Own,No,No,"Yes, rarely used",630
Occasionally late,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",762
Never paid,No,No,"Yes, but limited",Less than 6 months,No,Rent,No,No,"Yes, rarely used",572
Occasionally late,No,No,No,Less than 6 months,No,Own,"Yes, once",No,"Yes, actively used",626
Always on time,"Yes, but refunded","Yes, once",No,6 months to 1 year,No,Own,No,No,"Yes, actively used",606
Always on time,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",742
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, actively used",798
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, actively used",762
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Live with family/friends,No,"Yes, inactive member","Yes, actively used",787
Always on time,No,"Yes, once","Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",745
Occasionally late,No,No,No,1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",721
Frequently late,No,No,No,1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",666
Occasionally late,"Yes, not refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",677
Frequently late,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",690
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",749
Frequently late,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,No,No,607
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member",No,782
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Own,No,"Yes, inactive member","Yes, rarely used",810
Frequently late,No,No,No,Over 3 years,No,Rent,No,No,"Yes, actively used",644
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,"Yes, more than once","Yes, inactive member","Yes, actively used",706
Always on time,"Yes, not refunded",No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, rarely used",697
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Live with family/friends,No,No,"Yes, actively used",762
Occasionally late,No,No,No,1 to 3 years,No,Own,No,No,"Yes, actively used",677
Never paid,"Yes, not refunded",No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,No,No,564
Always on time,No,"Yes, once","Yes, but limited",Over 3 years,No,Own,"Yes, once",No,"Yes, actively used",685
Frequently late,No,"Yes, once",No,Less than 6 months,"Yes, occasionally",Live with family/friends,No,"Yes, active member",No,566
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Own,No,No,"Yes, rarely used",750
Always on time,"Yes, not refunded","Yes, once","Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",665
Always on time,No,"Yes, once","Yes, but limited",1 to 3 years,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",704
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Own,"Yes, once",No,"Yes, actively used",755
Always on time,No,"Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",652
Always on time,"Yes, not refunded",No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,"Yes, once",No,"Yes, actively used",659
